reviewId,game,date,content_lower,Sentiment,is_train,pred_label
rev_3,Wild_Rift,2026-02,this game exists and i played it once on my tablet testing it out today.,3,0,3
rev_4,Wild_Rift,2026-05,wild-rift is experiencing terrible lag spikes with high server ping matches me with bad teammates.,0,1,0
rev_5,Wild_Rift,2026-03,every time i play ranked wild-rift terrible lag spikes with high server ping matches me with bad teammates.,0,0,0
rev_6,Wild_Rift,2026-02,the connection is absolutely wild-rift with my active guild members best mobile moba ever.,2,0,2
rev_7,Wild_Rift,2026-03,after the riot games update severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_8,Wild_Rift,2026-04,after the riot games update severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_9,Wild_Rift,2025-11,this game exists and my friends told me to try it will delete it soon.,3,0,3
rev_11,Wild_Rift,2026-05,after the riot games update completely unbalanced rank draft matches completely trolls every game.,0,0,0
rev_12,Wild_Rift,2025-11,after the riot games update severe matchmaking issues and long queue times completely trolls every game.,0,0,0
rev_13,Wild_Rift,2025-11,wild-rift is experiencing terrible lag spikes with high server ping matches me with bad teammates.,0,0,0
rev_14,Wild_Rift,2025-11,every time i play ranked wild-rift severe matchmaking issues and long queue times completely trolls every game.,0,0,0
rev_15,Wild_Rift,2026-02,wild-rift is experiencing completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_16,Wild_Rift,2026-02,wild-rift is experiencing severe matchmaking issues and long queue times completely trolls every game.,0,0,0
rev_17,Wild_Rift,2025-12,after the riot games update completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_18,Wild_Rift,2025-12,after the riot games update terrible lag spikes with high server ping making ranked unplayable.,0,0,0
rev_19,Wild_Rift,2026-02,i really love playing smooth and stable during team fights fair ranked competitive play.,2,0,2
rev_20,Wild_Rift,2025-12,wild-rift updated to the champion balance scales on the official live servers.,1,0,1
rev_21,Wild_Rift,2026-03,every time i play ranked wild-rift severe matchmaking issues and long queue times completely trolls every game.,0,0,0
rev_22,Wild_Rift,2025-11,wild-rift is experiencing severe matchmaking issues and long queue times matches me with bad teammates.,0,0,0
rev_23,Wild_Rift,2025-11,the developers changed the champion balance scales in the latest patch notes.,1,0,1
rev_24,Wild_Rift,2026-03,riot games announced the champion balance scales for the upcoming competitive season.,1,0,1
rev_25,Wild_Rift,2026-01,wild-rift updated to the gold distribution settings in the latest patch notes.,1,0,1
rev_26,Wild_Rift,2026-02,after the riot games update severe matchmaking issues and long queue times matches me with bad teammates.,0,0,0
rev_27,Wild_Rift,2025-11,after the riot games update severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_28,Wild_Rift,2026-01,every time i play ranked wild-rift severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_29,Wild_Rift,2026-03,every time i play ranked wild-rift terrible lag spikes with high server ping making ranked unplayable.,0,0,0
rev_30,Wild_Rift,2025-12,wild-rift is experiencing severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_31,Wild_Rift,2026-04,wild-rift is experiencing completely unbalanced rank draft matches making ranked unplayable.,0,0,0
rev_32,Wild_Rift,2025-12,wild-rift is experiencing terrible lag spikes with high server ping matches me with bad teammates.,0,0,0
rev_33,Wild_Rift,2026-02,wild-rift is experiencing severe matchmaking issues and long queue times completely trolls every game.,0,0,0
rev_34,Wild_Rift,2026-05,i downloaded wild-rift because i played it once on my tablet will delete it soon.,3,0,3
rev_35,Wild_Rift,2026-05,just checking out i played it once on my tablet testing it out today.,3,0,3
rev_36,Wild_Rift,2025-12,after the riot games update completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_37,Wild_Rift,2026-03,i really love playing smooth and stable during team fights best mobile moba ever.,2,0,2
rev_38,Wild_Rift,2025-12,wild-rift is experiencing terrible lag spikes with high server ping completely trolls every game.,0,0,0
rev_39,Wild_Rift,2025-11,after the riot games update terrible lag spikes with high server ping matches me with bad teammates.,0,0,0
rev_40,Wild_Rift,2026-02,wild-rift is experiencing severe matchmaking issues and long queue times matches me with bad teammates.,0,0,0
rev_41,Wild_Rift,2026-03,wild-rift is experiencing completely unbalanced rank draft matches completely trolls every game.,0,0,0
rev_42,Wild_Rift,2026-05,after the riot games update completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_43,Wild_Rift,2026-05,after the riot games update severe matchmaking issues and long queue times matches me with bad teammates.,0,0,0
rev_44,Wild_Rift,2026-04,wild-rift is experiencing severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_45,Wild_Rift,2026-02,after the riot games update terrible lag spikes with high server ping making ranked unplayable.,0,0,0
rev_46,Wild_Rift,2026-05,i downloaded wild-rift because the graphics interface layout testing it out today.,3,0,3
rev_47,Wild_Rift,2026-04,after the riot games update terrible lag spikes with high server ping making ranked unplayable.,0,0,0
rev_48,Wild_Rift,2025-12,i really love playing smooth and stable during team fights highly recommend this game!,2,0,2
rev_49,Wild_Rift,2026-01,wild-rift updated to the champion balance scales in the latest patch notes.,1,0,1
rev_51,Wild_Rift,2026-01,the developers changed the gold distribution settings in the latest patch notes.,1,0,1
rev_52,Wild_Rift,2026-05,riot games announced the champion balance scales in the latest patch notes.,1,0,1
rev_53,Wild_Rift,2026-03,wild-rift is experiencing completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_54,Wild_Rift,2026-05,wild-rift updated to patch version 3.2 this week for the upcoming competitive season.,1,0,1
rev_55,Wild_Rift,2026-01,wild-rift is experiencing severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_56,Wild_Rift,2026-05,wild-rift is experiencing completely unbalanced rank draft matches completely trolls every game.,0,0,0
rev_57,Wild_Rift,2025-12,just checking out i played it once on my tablet will delete it soon.,3,0,3
rev_58,Wild_Rift,2026-04,after the riot games update terrible lag spikes with high server ping making ranked unplayable.,0,0,0
rev_59,Wild_Rift,2026-01,wild-rift is experiencing terrible lag spikes with high server ping completely trolls every game.,0,0,0
rev_60,Wild_Rift,2025-12,every time i play ranked wild-rift terrible lag spikes with high server ping completely trolls every game.,0,0,0
rev_61,Wild_Rift,2026-05,after the riot games update severe matchmaking issues and long queue times completely trolls every game.,0,0,0
rev_62,Wild_Rift,2026-01,after the riot games update completely unbalanced rank draft matches making ranked unplayable.,0,0,0
rev_63,Wild_Rift,2025-11,every time i play ranked wild-rift terrible lag spikes with high server ping matches me with bad teammates.,0,0,0
rev_64,Wild_Rift,2026-03,i downloaded wild-rift because i played it once on my tablet nothing special honestly.,3,0,3
rev_65,Wild_Rift,2026-05,every time i play ranked wild-rift terrible lag spikes with high server ping matches me with bad teammates.,0,0,0
rev_66,Wild_Rift,2026-04,after the riot games update completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_67,Wild_Rift,2025-11,wild-rift updated to patch version 3.2 this week on the official live servers.,1,0,1
rev_68,Wild_Rift,2026-02,the developers changed the champion balance scales on the official live servers.,1,0,1
rev_69,Wild_Rift,2025-11,wild-rift is experiencing completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_70,Wild_Rift,2025-11,wild-rift is experiencing completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_71,Wild_Rift,2026-05,after the riot games update severe matchmaking issues and long queue times matches me with bad teammates.,0,0,0
rev_72,Wild_Rift,2026-02,the connection is absolutely smooth and stable during team fights fair ranked competitive play.,2,0,2
rev_73,Wild_Rift,2025-12,riot games announced patch version 3.2 this week on the official live servers.,1,0,1
rev_74,Wild_Rift,2026-01,wild-rift is experiencing severe matchmaking issues and long queue times making ranked unplayable.,0,0,0
rev_75,Wild_Rift,2026-03,wild-rift is experiencing terrible lag spikes with high server ping completely trolls every game.,0,0,0
rev_76,Wild_Rift,2026-01,wild-rift is experiencing completely unbalanced rank draft matches completely trolls every game.,0,0,0
rev_77,Wild_Rift,2026-04,after the riot games update completely unbalanced rank draft matches matches me with bad teammates.,0,0,0
rev_78,Wild_Rift,2026-02,wild-rift is experiencing terrible lag spikes with high server ping completely trolls every game.,0,0,0
rev_79,Wild_Rift,2025-11,every time i play ranked wild-rift terrible lag spikes with high server ping completely trolls every game.,0,0,0
rev_80,Wild_Rift,2025-11,wild-rift is experiencing completely unbalanced rank draft matches completely trolls every game.,0,0,0
