Rank,Keyword,Score,Sentiment,Game
1,matchmaking,0.006532897059437969,Negative,Mobile_Legends
2,fix,0.000978857572281392,Negative,Mobile_Legends
3,unfair,0.000733424712967306,Negative,Mobile_Legends
4,teammates,0.0006782055726610131,Negative,Mobile_Legends
5,dark,0.0005947244131003204,Negative,Mobile_Legends
6,team,0.0005435304866062021,Negative,Mobile_Legends
7,players,0.00044271898419050284,Negative,Mobile_Legends
8,rank,0.0004215513339702635,Negative,Mobile_Legends
9,trash,0.0003506999774563668,Negative,Mobile_Legends
10,fix matchmaking,0.00029337329451823037,Negative,Mobile_Legends
