Rank,Keyword,Score,Sentiment,Game
1,love,0.004007252902328662,Positive,Mobile_Legends
2,best,0.003210035386681247,Positive,Mobile_Legends
3,fun,0.0021477997105379294,Positive,Mobile_Legends
4,nice,0.0014498645135399527,Positive,Mobile_Legends
5,amazing,0.0003339503810088368,Positive,Mobile_Legends
6,skin,0.00031931020815036186,Positive,Mobile_Legends
7,great,0.0002663974454282325,Positive,Mobile_Legends
8,cool,0.0002281088436091593,Positive,Mobile_Legends
9,mobile,0.000212773409310633,Positive,Mobile_Legends
10,friends,0.00019377723368040815,Positive,Mobile_Legends
