Rank,Keyword,Score,Sentiment,Game
1,matchmaking,0.000706462652675577,Negative,Wild_Rift
2,fix,0.0006329435661731232,Negative,Wild_Rift
3,stuck,0.0006250467236708488,Negative,Wild_Rift
4,files,0.0004509812074037309,Negative,Wild_Rift
5,screen,0.0004161446828138488,Negative,Wild_Rift
6,connection,0.00035231796663711215,Negative,Wild_Rift
7,loading,0.00033952326531345734,Negative,Wild_Rift
8,verifying,0.0003150395779475931,Negative,Wild_Rift
9,verifying files,0.00024538536496266733,Negative,Wild_Rift
10,update,0.0002311621522054551,Negative,Wild_Rift
