Rank,Keyword,Score,Sentiment,Game
1,best,0.002247366140865508,Positive,Wild_Rift
2,love,0.002150463555441284,Positive,Wild_Rift
3,mobile,0.0007148476633147969,Positive,Wild_Rift
4,moba,0.0005450795860621644,Positive,Wild_Rift
5,great,0.0004791494285602867,Positive,Wild_Rift
6,fun,0.00039401183257130486,Positive,Wild_Rift
7,pc,0.0003854702356310613,Positive,Wild_Rift
8,add,0.0002807062321869263,Positive,Wild_Rift
9,thank,0.0002586739269724636,Positive,Wild_Rift
10,better,0.0002574861708174158,Positive,Wild_Rift
